Name,Effect,Duration,Source
Innate Mind Reading,"Magically access the surface thoughts of a creature within 60 ft as long as concentration isn't broken. The spell can penetrate barriers, but 2 feet of rock, 2 inches of any metal other than lead, or a thin sheet of lead obstruct the ability. While reading the mind of a create, gains advantage to Communication checks versus the creature.",,
Spore Follower,"Without the presence of a spore evolved, this creature will behave as a brain dead monster. But under direction will follow orders and use weapons.",,
Spore Carrier,"Carries the spore fungal infection. Creatures injured are infected with the spore disease. Upon death, the fungal growth hardens into a brittle stone like substance.",,
Incorporeal Form,Can move through physical objects and creatures as if they were difficult terrain.,,
Language: Babelish,Can speak and write Babelish.,,
Language: Bright-speak,Can speak and write Bright-speak.,,
Language: Pirish,Can speak and write Pirish.,,
Language - Deep-speak,Can speak and write Deep-speak.,,
Language: Primal,Can speak and write Primal.,,
Language: Kikishi,Can speak and write Kikishi.,,
Language: Draconic,Can speak and write Draconic.,,
Language: Demonic,Can speak and write Demonic.,,
Disabling: None,None,,
Disabling: Missing bodily extremity/limb,STR and RFX dice penalties when performing tasks requiring 2 hands.,,
Disabling: Feeble,-1 STR,,
Disabling: Heavy,-1 RFX,,
Disabling: Dim-witted,-1 INT,,
Disabling: Phobia,Debilitating fear of ?.,,
Disabling: Extreme Prejudice,Overwhelming hatred/disgust of ?.,,
Disabling: Compulsive Liar,Compulsion to lie about self-aggrandizing claims/achievements.,,
Disabling: Kleptomaniac,Desire to steal most things regardless of value.,,
Disabling: Betrayal Paranoia,Extreme belief that every person met will betray them.,,
Disabling: Government Paranoia,Extreme belief that the ruling class is run by an evil cult.,,
Disabling: Superstition Paranoia,Extreme belief in common superstition and old wives tales.,,
Disabling: Paranoia,Irrational belief that ...,,
Disabling: Over-emotional (specific emotion),,,
Disabling: Loose Cannon,Overwhelming predisposition towards rage/anger.,,
Disabling: Incontrollable Grief,Overwhelming grief that is triggered reminder of past trauma.,,
Disabling: Very Forgetful,"Often forgets plans, directions, people, items,  names...",,
Disabling: Endurance Overconfidence,"Extremely overconfident in Endurance, cannot invest in.",,
Disabling: Overconfidence,"Extremely overconfident in , cannot invest in.",,
Disabling: Athletics Overconfidence,"Extremely overconfident in Athletics, cannot invest in.",,
Disabling: Climb Overconfidence,"Extremely overconfident in Climb, cannot invest in.",,
Disabling: Swim Overconfidence,"Extremely overconfident in Swim, cannot invest in.",,
Disabling: Lift Overconfidence,"Extremely overconfident in Lift, cannot invest in.",,
Disabling: Perception Overconfidence,"Extremely overconfident in Perception, cannot invest in.",,
Disabling: Acrobatics Overconfidence,"Extremely overconfident in Acrobatics, cannot invest in.",,
Disabling: Ride/Pilot Overconfidence,"Extremely overconfident in Ride/Pilot, cannot invest in.",,
Disabling: Sleight of Hand Overconfidence,"Extremely overconfident in Sleight of Hand, cannot invest in.",,
Disabling: Stealth Overconfidence,"Extremely overconfident in Stealth, cannot invest in.",,
