name,desc,duration,source,Slash,Pierce,Bludgeon,Hew,Ballistic,Shockwave,Fire,Electric,Radiant,Acid,Cold,Silver,Poison,Necrotic,Bleed,Suffocation,Psychic,Spiritual
Engineering Suit Defense,"Works as Head Armor, Body Armor, Arm Armor, and Leg Armor.",,,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0
Security Suit Defense,"Works as Head Armor, Body Armor, Arm Armor, and Leg Armor.",,,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0
Advanced Suit Defense,"Works as Head Armor, Body Armor, Arm Armor, and Leg Armor.",,,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0
Soldier Suit Defense,"Works as Head Armor, Body Armor, Arm Armor, and Leg Armor.",,,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
Gambeson Armor Defense,"Works as Head Armor, Body Armor, Arm Armor, and Leg Armor.",,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Gambeson Body/Arm Defense,Works as Body Armor and Leg Armor.,,,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0,0,0,0,0,0,0,0
Gambeson Leg Defense,Works as Leg Armor.,,,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
Leather Armor Defense,"Works as Head Armor, Body Armor, Arm Armor, and Leg Armor.",,,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Leather Head Defense,Works as Head Armor.,,,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0,0,0,0,0,0,0,0
Leather Body Defense,Works as Body Armor.,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Leather Leg Defense,Works as Leg Armor.,,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,0,0,0,0,0,0
Leather Arm Defense,Works as Arm Armor.,,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
Chainmail Armor Defense,"Works as Head Armor, Body Armor, Arm Armor, and Leg Armor.",,,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
Chainmail Head Defense,Works as Head Armor.,,,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0,0,0,0,0,0,0,0
Chainmail Body Defense,Works as Body Armor.,,,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,0,0,0,0,0,0,0,0
Chainmail Leg Defense,Works as Leg Armor.,,,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0,0,0,0,0,0,0,0
Chainmail Arm Defense,Works as Arm Armor.,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
Brigandine Armor Defense,"Works as Head Armor, Body Armor, Arm Armor, and Leg Armor.",,,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0
Brigandine Head Defense,Works as Head Armor.,,,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0,0,0,0,0,0,0,0
Brigandine Body Defense,Works as Body Armor.,,,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,0,0,0,0,0,0,0,0
Brigandine Leg Defense,Works as Leg Armor.,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,0,0,0,0,0,0
Brigandine Arm Defense,Works as Arm Armor.,,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
Plate Armor Defense,"Works as Head Armor, Body Armor, Arm Armor, and Leg Armor.",,,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0
Plate Head Defense,Works as Head Armor.,,,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0,0,0,0,0,0
Plate Body Defense,Works as Body Armor.,,,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,0,0,0,0,0,0,0,0
Plate Leg Defense,Works as Leg Armor.,,,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,0,0,0,0,0,0,0,0
Plate Arm Defense,Works as Arm Armor.,,,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
Small Shield,Shield,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medium Shield,Shield,,,2,2,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Large Shield,Shield,,,3,3,3,3,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Massive Shield,Shield,,,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0
