name,desc,duration,source,skillToEffect,level
Super Perception,Perception set to level 5.,,,Perception,5
Apprentice Athletics,Athletics set to level 1.,,,Athletics,1
Adept Athletics,Athletics set to level 2.,,,Athletics,2
Expert Athletics,Athletics set to level 3.,,,Athletics,3
Apprentice Endurance,Endurance set to level 1.,,,Endurance,1
Adept Endurance,Endurance set to level 2.,,,Endurance,2
Expert Endurance,Endurance set to level 3.,,,Endurance,3
Apprentice Lift,Lift set to level 1.,,,Lift,1
Adept Lift,Lift set to level 2.,,,Lift,2
Expert Lift,Lift set to level 3.,,,Lift,3
Apprentice Dexterity,Dexterity set to level 1.,,,Dexterity,1
Adept Dexterity,Dexterity set to level 2.,,,Dexterity,2
Expert Dexterity,Dexterity set to level 3.,,,Dexterity,3
Apprentice Perception,Perception set to level 1.,,,Perception,1
Adept Perception,Perception set to level 2.,,,Perception,2
Expert Perception,Perception set to level 3.,,,Perception,3
Apprentice Stealth,Stealth set to level 1.,,,Stealth,1
Adept Stealth,Stealth set to level 2.,,,Stealth,2
Expert Stealth,Stealth set to level 3.,,,Stealth,3
Apprentice Communication,Communication set to level 1.,,,Communication,1
Adept Communication,Communication set to level 2.,,,Communication,2
Expert Communication,Communication set to level 3.,,,Communication,3
Apprentice General Knowledge,General Knowledge set to level 1.,,,General Knowledge,1
Adept General Knowledge,General Knowledge set to level 2.,,,General Knowledge,2
Expert General Knowledge,General Knowledge set to level 3.,,,General Knowledge,3
Apprentice Will,Will set to level 1.,,,Will,1
Adept Will,Will set to level 2.,,,Will,2
Expert Will,Will set to level 3.,,,Will,3
