name,desc,duration,source,skillsToEffect,level
Super Perception,Perception set to level 5.,Indefinite,Innate,Perception,5
Apprentice Athletics,Athletics set to level 1.,Indefinite,Innate,Athletics,1
Adept Athletics,Athletics set to level 2.,Indefinite,Innate,Athletics,2
Expert Athletics,Athletics set to level 3.,Indefinite,Innate,Athletics,3
Apprentice Endurance,Endurance set to level 1.,Indefinite,Innate,Endurance,1
Adept Endurance,Endurance set to level 2.,Indefinite,Innate,Endurance,2
Expert Endurance,Endurance set to level 3.,Indefinite,Innate,Endurance,3
Apprentice Lift,Lift set to level 1.,Indefinite,Innate,Lift,1
Adept Lift,Lift set to level 2.,Indefinite,Innate,Lift,2
Expert Lift,Lift set to level 3.,Indefinite,Innate,Lift,3
Apprentice Dexterity,Dexterity set to level 1.,Indefinite,Innate,Dexterity,1
Adept Dexterity,Dexterity set to level 2.,Indefinite,Innate,Dexterity,2
Expert Dexterity,Dexterity set to level 3.,Indefinite,Innate,Dexterity,3
Apprentice Perception,Perception set to level 1.,Indefinite,Innate,Perception,1
Adept Perception,Perception set to level 2.,Indefinite,Innate,Perception,2
Expert Perception,Perception set to level 3.,Indefinite,Innate,Perception,3
Apprentice Stealth,Stealth set to level 1.,Indefinite,Innate,Stealth,1
Adept Stealth,Stealth set to level 2.,Indefinite,Innate,Stealth,2
Expert Stealth,Stealth set to level 3.,Indefinite,Innate,Stealth,3
Apprentice Communication,Communication set to level 1.,Indefinite,Innate,Communication,1
Adept Communication,Communication set to level 2.,Indefinite,Innate,Communication,2
Expert Communication,Communication set to level 3.,Indefinite,Innate,Communication,3
Apprentice General Knowledge,General Knowledge set to level 1.,Indefinite,Innate,General Knowledge,1
Adept General Knowledge,General Knowledge set to level 2.,Indefinite,Innate,General Knowledge,2
Expert General Knowledge,General Knowledge set to level 3.,Indefinite,Innate,General Knowledge,3
Apprentice Will,Will set to level 1.,Indefinite,Innate,Will,1
Adept Will,Will set to level 2.,Indefinite,Innate,Will,2
Expert Will,Will set to level 3.,Indefinite,Innate,Will,3
