name,defenseType,desc
Slash,Physical,Caused by pushing or drawing a bladed edge to produce the force necessary to slice.
Pierce,Physical,Caused by pointed objects.
Bludgeon,Physical,Caused by blunt force.
Hew,Physical,Caused by the pressing of a bladed edge to produce the force necessary to shear.
Shockwave,Physical,Caused by shock waves and sound.
Fire,Physical,Caused by intense heat or combustion.
Electric,Physical,Caused by lightning or other sources of electricity.
Radiant,Physical,Caused specifically by divine power or sunlight.
Acid,Physical,Caused by corrosive substances.
Cold,Bodily,Caused by extremely low temperatures.
Silver,Bodily,Caused by a Silvered weapon.
Poison,Bodily,Caused by poisons or toxins.
Necrotic,Bodily,"Caused by rot, decay, and undeath."
Bleed,Bodily,Caused by the loss of blood.
Suffocation,Bodily,Caused by the lack of breathable air such as drowning.
Psychic,Mental,Caused by mental trauma.
Spiritual,Soul,Caused by spiritual sources such as ghosts or divine entities.
