name,defendingSkill,desc
Slash,None,Caused by pushing or drawing a bladed edge to produce the force necessary to slice.
Pierce,None,Caused by pointed objects.
Bludgeon,None,Caused by blunt force.
Hew,None,Caused by the pressing of a bladed edge to produce the force necessary to shear.
Ballistic,None,Caused by bullets from firearms.
Shockwave,None,Caused by shock waves and sound.
Fire,None,Caused by intense heat or combustion.
Electric,None,Caused by lightning or other sources of electricity.
Radiant,None,Caused specifically by divine power or sunlight.
Acid,None,Caused by corrosive substances.
Cold,Endurance,Caused by extremely low temperatures.
Silver,Endurance,Caused by a Silvered weapon.
Poison,Endurance,Caused by poisons or toxins.
Necrotic,Endurance,"Caused by rot, decay, and undeath."
Bleed,Endurance,Caused by the loss of blood.
Suffocation,Endurance,Caused by the lack of breathable air such as drowning.
Psychic,Spiritual,Caused by mental trauma.
Spiritual,Spiritual,Caused by spiritual sources such as ghosts or divine entities.
