desc,resourceClass,dicePoolMod,baseDiceTierAdjustment,penetration,range,damageTypes,areaOfEffect
Standard Light Arrow,Light Arrow,+0d6,+0,1,None,Pierce,
Wounding Light Arrow,Light Arrow,+0d6,+1,1,None,"Pierce, Bleed",
Anti-armor Light Arrow,Light Arrow,+0d6,+0,2,None,Pierce,
Survival Light Arrow,Light Arrow,+0d6,-1,0,None,Pierce,
Shoddy Light Arrow,Light Arrow,+0d6,-1,1,None,Pierce,
,,,,,,,
Standard Heavy Arrow,Heavy Arrow,+0d6,+0,1,None,Pierce,
Wounding Heavy Arrow,Heavy Arrow,+0d6,+1,1,None,"Pierce, Bleed",
Anti-armor Heavy Arrow,Heavy Arrow,+0d6,+0,2,None,Pierce,
Survival Heavy Arrow,Heavy Arrow,+0d6,-1,0,None,Pierce,
Shoddy Heavy Arrow,Heavy Arrow,+0d6,-1,1,None,Pierce,
,,,,,,,
Standard Light Bolt,Light Bolt,+0d6,+0,1,None,Pierce,
Wounding Light Bolt,Light Bolt,+0d6,+1,1,None,"Pierce, Bleed",
Anti-armor Light Bolt,Light Bolt,+0d6,+0,2,None,Pierce,
Survival Light Bolt,Light Bolt,+0d6,-1,0,None,Pierce,
Shoddy Light Bolt,Light Bolt,+0d6,-1,1,None,Pierce,
,,,,,,,
Standard Heavy Bolt,Heavy Bolt,+0d6,+0,1,None,Pierce,
Wounding Heavy Bolt,Heavy Bolt,+0d6,+1,1,None,"Pierce, Bleed",
Anti-armor Heavy Bolt,Heavy Bolt,+0d6,+0,2,None,Pierce,
Survival Heavy Bolt,Heavy Bolt,+0d6,-1,0,None,Pierce,
Shoddy Heavy Bolt,Heavy Bolt,+0d6,-1,1,None,Pierce,
,,,,,,,
Standard Sling Bullets,Sling Bullet,+0d6,+0,1,None,Bludgeon,
Poison Needles,Blowgun Dart,+0d6,+0,0,None,Poison,
,,,,,,,
Standard Blackpowder Pistol Cartridge,Blackpowder Pistol Cartridge,+0d6,+0,4,None,Pierce,
Standard Arquebus Cartridge,Arquebus Cartridge,+0d6,+0,5,None,Pierce,
Standard Musket Cartridge,Musket Cartridge,+0d6,+0,6,None,Pierce,
,,,,,,,
9mm FMJ Ammo,9mm Ammo,+0d6,+0,4,None,Pierce,
5.56 FMJ Ammo,5.56 Ammo,+0d6,+0,6,None,Pierce,
.308 FMJ Ammo,.308 Ammo,+0d6,+0,8,None,Pierce,
12 Gauge Buckshot Ammo,12 Gauge Ammo,+0d6,+0,5,None,Pierce,
RPG Ammo,RPG Ammo,+0d6,+0,10,None,"Fire, Shockwave",30 ft Sphere
