name,oneHandedWeaponDice,twoHandedWeaponDice,dualWieldableBonus,penetration,range,engageableOpponents,areaOfEffect,resourceClass,resourceClassAmountPerShot,damageTypes,governingSkillName,hardcoreGoverningSkillName
Hand Crossbow,+1d6,None,+1d6,0,Medium,Standard,,Light Bolt,1,,Crossbow,Hand Crossbow
Light Crossbow,None,+1d6,None,1,Far,Loading,,Light Bolt,1,,Crossbow,Light Crossbow
Heavy Crossbow,None,+2d6,None,2,Long,Complex Loading,,Heavy Bolt,1,,Crossbow,Heavy Crossbow
Light Bow,None,+1d6,None,0,Far,Quick,,Light Arrow,1,,Bow,Light Bow
Heavy Bow,None,+2d6,None,2,Sharpshooter,Standard,,Heavy Arrow,1,,Bow,Heavy Bow
Blowgun,+0d6,None,None,0,Mediocre,Loading,,Blowgun Dart,1,,Exotic Ranged,Blowgun
Sling,+0d6,None,None,0,Medium,Standard,,Sling Bullet,1,,Exotic Ranged,Sling
,,,,,,,,,,,,
Thrown Small Slashing Blade,+0d6,None,+1d6,0,Short,Quick,,None,1,Slash,Close Melee,Small Blade
Thrown Small Piercing Blade,+0d6,None,+1d6,0,Short,Quick,,None,1,Pierce,Close Melee,Small Blade
Thrown Small Hafted Axe,+0d6,None,+1d6,0,Short,Quick,,None,1,Hew,Close Melee,Small Hafted
Thrown Small Hafted Blade,+0d6,None,+1d6,0,Short,Quick,,None,1,Slash,Close Melee,Small Hafted
Thrown Small Hafted Point,+0d6,None,+1d6,0,Short,Quick,,None,1,Pierce,Close Melee,Small Hafted
Thrown Small Hafted Blunt,+0d6,None,+1d6,0,Short,Quick,,None,1,Bludgeon,Close Melee,Small Hafted
Thrown Medium Spear,+1d6,None,+1d6,2,Medium,Standard,,None,1,Pierce,Medium Melee,Medium Spear
Thrown Large Spear,+1d6,None,None,3,Short,Standard,,None,1,Pierce,Large Melee,Large Spear
,,,,,,,,,,,,
Unarmed,-1,None,+0d6,0,Melee,Rapid,,None,,Bludgeon,Close Melee,Unarmed
Hand Protection Unarmed,+0d6,None,+0d6,0,Melee,Rapid,,None,,Bludgeon,Close Melee,Unarmed
Spiked Hand Protection Unarmed,+0d6,None,+0d6,0,Melee,Rapid,,None,,Pierce,Close Melee,Unarmed
,,,,,,,,,,,,
Small Hafted Axe,+1d6,None,+1d6,0,Melee,Rapid,,None,,Hew,Close Melee,Small Hafted
Small Hafted Blade,+1d6,None,+1d6,0,Melee,Rapid,,None,,Slash,Close Melee,Small Hafted
Small Hafted Point,+0d6,None,+1d6,2,Melee,Rapid,,None,,Pierce,Close Melee,Small Hafted
Small Hafted Blunt,+0d6,None,+1d6,2,Melee,Rapid,,None,,Bludgeon,Close Melee,Small Hafted
Torch,+0d6,None,+1d6,2,Melee,Rapid,,None,,"Bludgeon, Fire",Close Melee,Small Hafted
Small Piercing Blade,+0d6,None,+1d6,2,Melee,Rapid,,None,,Pierce,Close Melee,Small Blade
Small Slashing Blade,+1d6,None,+1d6,0,Melee,Rapid,,None,,Slash,Close Melee,Small Blade
,,,,,,,,,,,,
Medium Hafted Axe,+2d6,+3d6,+1d6,1,Melee,Rapid,,None,,Hew,Medium Melee,Medium Hafted
Medium Hafted Blade,+2d6,+3d6,+1d6,1,Melee,Rapid,,None,,Slash,Medium Melee,Medium Hafted
Medium Hafted Point,+1d6,+2d6,+1d6,2,Melee,Rapid,,None,,Pierce,Medium Melee,Medium Hafted
Medium Hafted Blunt,+0d6,+1d6,+1d6,4,Melee,Rapid,,None,,Bludgeon,Medium Melee,Medium Hafted
Medium Thrusting Sword,+1d6,+2d6,+1d6,2,Melee,Rapid,,None,,Pierce,Medium Melee,Medium Sword
Medium Slashing Sword,+2d6,+3d6,+1d6,1,Melee,Rapid,,None,,Slash,Medium Melee,Medium Sword
Medium Spear,+2d6,None,+1d6,2,Melee,Rapid Max 2,,None,,Pierce,Medium Melee,Medium Spear
,,,,,,,,,,,,
Large Hafted Axe,+1d6,+3d6,None,2,Melee,Rapid,,None,,Hew,Large Melee,Large Hafted
Large Hafted Blade,+1d6,+3d6,None,2,Melee,Rapid,,None,,Slash,Large Melee,Large Hafted
Large Hafted Point,+0d6,+2d6,None,3,Melee,Rapid,,None,,Pierce,Large Melee,Large Hafted
Large Hafted Blunt,-1,+1d6,None,5,Melee,Rapid,,None,,Bludgeon,Large Melee,Large Hafted
Large Thrusting Sword,+0d6,+2d6,None,3,Melee,Rapid,,None,,Pierce,Large Melee,Large Sword
Large Slashing Sword,+1d6,+3d6,None,2,Melee,Rapid,,None,,Slash,Large Melee,Large Sword
Large Spear,+2d6,+3d6,None,3,Melee,Rapid Max 2,,None,,Pierce,Large Melee,Large Spear
,,,,,,,,,,,,
Reach Hafted Axe,-2,+4d6,None,3,Reach,Rapid,,None,,Hew,Reach Melee,Reach Hafted
Reach Hafted Blade,-2,+4d6,None,3,Reach,Rapid,,None,,Slash,Reach Melee,Reach Hafted
Reach Hafted Point,-2,+3d6,None,4,Reach,Rapid,,None,,Pierce,Reach Melee,Reach Hafted
Reach Hafted Blunt,-2,+2d6,None,5,Reach,Rapid,,None,,Bludgeon,Reach Melee,Reach Hafted
Reach Thrusting Sword,-2,+3d6,None,4,Reach,Rapid,,None,,Pierce,Reach Melee,Reach Sword
Reach Slashing Sword,-2,+4d6,None,3,Reach,Rapid,,None,,Slash,Reach Melee,Reach Sword
Reach Spear,-2,+4d6,None,4,Reach,Rapid Max 2,,None,,Pierce,Reach Melee,Reach Spear
Whip,+1d6,None,+1d6,0,Reach,Rapid,,None,,Slash,Exotic Melee,Whip
,,,,,,,,,,,,
Weak Bite,None,-1,None,0,Melee,Rapid Max 2,,None,,"Pierce, Bludgeon",Primal Melee,Bite
Small Bite,None,+1d6,None,1,Melee,Rapid Max 2,,None,,"Pierce, Bludgeon",Primal Melee,Bite
Bite,None,+2d6,None,2,Melee,Rapid Max 2,,None,,"Pierce, Bludgeon",Primal Melee,Bite
Large Bite,None,+3d6,None,3,Melee,Rapid Max 2,,None,,"Pierce, Bludgeon",Primal Melee,Bite
,,,,,,,,,,,,
Slashing Claw,+1d6,None,+1d6,0,Melee,Rapid,,None,,Slash,Primal Melee,Claw
Piercing Claw,+0d6,None,+1d6,2,Melee,Rapid,,None,,Pierce,Primal Melee,Claw
Large Slashing Claw,+2d6,None,+1d6,1,Melee,Rapid,,None,,Slash,Primal Melee,Claw
Large Piercing Claw,+1d6,None,+1d6,2,Melee,Rapid,,None,,Pierce,Primal Melee,Claw
,,,,,,,,,,,,
Horns,None,+2d6,None,2,Melee,Rapid,,None,,Pierce,Primal Melee,Horns
Large Horns,None,+3d6,None,3,Melee,Rapid,,None,,Pierce,Primal Melee,Horns
,,,,,,,,,,,,
Slam,+0d6,None,+1d6,2,Melee,Rapid,,None,,Bludgeon,Primal Melee,Slam
Large Slam,+0d6,None,+1d6,4,Melee,Rapid,,None,,Bludgeon,Primal Melee,Slam
,,,,,,,,,,,,
Tentacle,+1d6,None,+1d6,0,Reach,Rapid,,None,,Slash,Primal Melee,Tentacle
,,,,,,,,,,,,
9mm Semi-automatic Pistol,+2d6,None,+1d6,0,Extended,Quick,,9mm Ammo,1,,Small Guns,9mm Semi-automatic Pistol
9mm Burst Pistol,+3d6,None,+1d6,0,Medium,Quick,,9mm Ammo,3,,Small Guns,9mm Burst Pistol
9mm Automatic Pistol,+3d6,None,+1d6,0,Short,Rapid,,9mm Ammo,6,,Small Guns,9mm Automatic Pistol
,,,,,,,,,,,,
5.56 Semi-automatic Rifle,+1d6,+3d6,None,0,Extreme,Quick,,5.56 Ammo,1,,Medium Guns,Semi-automatic Rifle
5.56 Burst Rifle,+2d6,+4d6,None,0,Sharpshooter,Quick,,5.56 Ammo,3,,Medium Guns,Semi-automatic Rifle
5.56 Automatic Rifle,+2d6,+4d6,None,0,Distant,Rapid,,5.56 Ammo,6,,Medium Guns,Semi-automatic Rifle
,,,,,,,,,,,,
.308 Bolt Action Rifle,+1d6,+4d6,None,0,Sniper,Standard,,.308 Ammo,1,,Medium Guns,Marksman Rifle
,,,,,,,,,,,,
5.56 Machine Gun,-2,+5d6,None,0,Extreme,Rapid,,5.56 Ammo,10,,Heavy Guns,Machine Gun
RPG Launcher,-2,+6d6,None,0,Sharpshooter,Loading,,RPG Ammo,1,,Heavy Guns,Launcher
