desc,resourceClass,resourceDice,penetration,range,damageTypes,areaOfEffect
Standard Light Arrow,Arrow,+1d6,1,None,Pierce,
Wounding Light Arrow,Arrow,+1d6,1,None,"Pierce, Bleed",
Anti-armor Light Arrow,Arrow,+1d6,2,None,Pierce,
Survival Light Arrow,Arrow,+1d4,0,None,Pierce,
Shoddy Light Arrow,Arrow,+1d4,1,None,Pierce,
Standard Light Bolt,Bolt,+1d6,1,None,Pierce,
Wounding Light Bolt,Bolt,+1d6,1,None,"Pierce, Bleed",
Anti-armor Light Bolt,Bolt,+1d6,2,None,Pierce,
Survival Bolt,Bolt,+1d4,0,None,Pierce,
Shoddy Bolt,Bolt,+1d4,1,None,Pierce,
Standard Sling Bullets,Sling Bullet,+1d6,1,None,Bludgeon,
Poison Needles,Blowgun Dart,+1d6,0,None,Poison,
,,,,,,
9mm FMJ Ammo,9mm Ammo,+1d6,4,None,Pierce,
5.56 FMJ Ammo,5.56 Ammo,+1d6,6,None,Pierce,
.308 FMJ Ammo,.308 Ammo,+1d6,8,None,Pierce,
RPG Ammo,RPG Ammo,+1d6,10,None,"Fire, Shockwave",30 ft Sphere
