" Armory",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Gambeson Coat",1,Phy. Def. 1,Mundane,12/12,5,2 bc,FALSE,FALSE,FALSE,TRUE
"Gambeson Leggings",1,Phy. Def. 0.5,Mundane,12/12,3,1 bc,FALSE,FALSE,FALSE,TRUE
"Leather Helmet",1,Phy. Def. 0.5,Mundane,12/12,2,0.5 bc,FALSE,FALSE,FALSE,TRUE
"Leather Cuirass and Pauldrons",1,Phy. Def. 0.5,Mundane,12/12,4,3 bc,FALSE,FALSE,FALSE,TRUE
"Leather Cuisses and Greaves",1,Phy. Def. 0.5,Mundane,12/12,3,2 bc,FALSE,FALSE,FALSE,TRUE
"Leather Vambrace",1,Phy. Def. 0.5,Mundane,12/12,2,1.5 bc,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,
"Chainmail Coif",1,Phy. Def. 0.75,Superior,24/24,4,11.2 bc,TRUE,TRUE,TRUE,TRUE
"Chainmail Shirt",1,Phy. Def. 0.75,Mundane,12/12,20,22.4 bc,TRUE,TRUE,TRUE,TRUE
"Chainmail Leggings",1,Phy. Def. 0.75,Mundane,12/12,12,11.2 bc,TRUE,TRUE,TRUE,TRUE
"Chainmail Sleeves",1,Phy. Def. 0.75,Mundane,12/12,11,11.2 bc,TRUE,TRUE,TRUE,TRUE
"Half Helm",1,Phy. Def. 1,Mundane,12/12,5,22.5 bc,FALSE,FALSE,TRUE,TRUE
"Brigandine Cuirass and Pauldrons",1,Phy. Def. 1,Mundane,12/12,21,60 bc,FALSE,FALSE,TRUE,TRUE
"Brigandine Cuisses and Greaves",1,Phy. Def. 1,Mundane,12/12,14,40.5 bc,FALSE,FALSE,TRUE,TRUE
"Brigandine Vambrace and Gauntlets",1,"Phy. Def. 1, Hand Protection Unarmed",Mundane,12/12,12,27.75 bc,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,,
"Plate Full Helm",1,Phy. Def. 1.35,Mundane,12/12,6,225 bc,FALSE,FALSE,FALSE,TRUE
"Plate Cuirass and Pauldrons",1,Phy. Def. 1.5,Mundane,12/12,23,450 bc,FALSE,FALSE,FALSE,TRUE
"Plate Cuisses and Greaves",1,Phy. Def. 1.35,Mundane,12/12,15,300 bc,FALSE,FALSE,FALSE,TRUE
"Plate Vambrace and Gauntlets",1,"Phy. Def. 1.35, Hand Protection Unarmed",Mundane,12/12,13,150 bc,FALSE,FALSE,FALSE,TRUE
"Small Shield (Buckler, Targe, Parma)",1,Phy. Def. 1,Mundane,12/12,4,2 bc,TRUE,TRUE,TRUE,TRUE
"Kite Shield",1,Phy. Def. 2,Mundane,12/12,8,7 bc,FALSE,TRUE,TRUE,TRUE
"Hoplon Shield",1,Phy. Def. 2,Mundane,12/12,8,7 bc,FALSE,TRUE,TRUE,TRUE
"Pavise Shield",1,Phy. Def. 2,Mundane,12/12,8,7 bc,FALSE,TRUE,TRUE,TRUE
"Heater Shield",1,Phy. Def. 2,Mundane,12/12,8,7 bc,FALSE,TRUE,TRUE,TRUE
"Heavy Shield (Tower)",1,Phy. Def. 3,Mundane,12/12,25,150 bc,FALSE,FALSE,TRUE,TRUE
"Mantlet",1,Phy. Def. 4,Mundane,12/12,90,17 bc,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,
"Weaponsmith",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Dagger",1,"Small Thrusting Point, Small Slashing Blade, Thrown Small Point",Mundane,12/12,1,2 bc,TRUE,TRUE,TRUE,TRUE
"Shortsword",1,"Small Thrusting Point, Small Slashing Blade, Thrown Small Point",Mundane,12/12,1.5,10 bc,TRUE,TRUE,TRUE,TRUE
"Handaxe",1,Small Hafted Blade,Mundane,12/12,2,10 bc,TRUE,TRUE,TRUE,TRUE
"Sickle",1,Small Hafted Blade,Mundane,12/12,2,5 bc,FALSE,FALSE,TRUE,TRUE
"Light Hammer",1,Small Hafted Blunt,Mundane,12/12,2,1 bc,FALSE,FALSE,TRUE,TRUE
"Arming Sword",1,"Medium Thrusting Sword, Medium Slashing Sword",Mundane,12/12,2,2 bc,FALSE,FALSE,TRUE,TRUE
"Rapier",1,Medium Thrusting Sword,Mundane,12/12,2,12 bc,FALSE,FALSE,FALSE,TRUE
"Scimitar",1,Medium Slashing Sword,Mundane,12/12,2,25 bc,FALSE,FALSE,TRUE,TRUE
"Battleaxe",1,Medium Hafted Axe,Mundane,12/12,4,10 bc,TRUE,TRUE,TRUE,TRUE
"Flail",1,Medium Hafted Blunt,Mundane,12/12,3,10 bc,FALSE,FALSE,TRUE,TRUE
"Morning Star",1,"Medium Hafted Blunt, Medium Hafted Point",Mundane,12/12,4,15 bc,FALSE,FALSE,TRUE,TRUE
"Mace",1,Medium Hafted Blunt,Mundane,12/12,3,5 bc,FALSE,TRUE,TRUE,TRUE
"Warhammer/pick",1,"Medium Hafted Blunt, Medium Hafted Point",Mundane,12/12,4,9 bc,FALSE,FALSE,TRUE,TRUE
"Longsword",1,"Large Thrusting Sword, Large Slashing Sword",Mundane,12/12,3,15 bc,FALSE,FALSE,TRUE,TRUE
"Glaive",1,Large Hafted Blade,Mundane,12/12,6,20 bc,FALSE,FALSE,TRUE,TRUE
"Dane Axe",1,Large Hafted Blade,Mundane,12/12,4,11 bc,FALSE,TRUE,TRUE,TRUE
"Maul",1,Large Hafted Blunt,Mundane,12/12,7,10 bc,FALSE,TRUE,TRUE,TRUE
"Shortsword",1,"Small Thrusting Point, Small Slashing Blade, Thrown Small Point",Mundane,12/12,1.5,10 bc,TRUE,TRUE,TRUE,TRUE
"Trident",1,"Short Spear, Thrown Short Spear",Mundane,12/12,3,5 bc,FALSE,FALSE,FALSE,TRUE
"Poleaxe",1,"Large Hafted Blunt, Large Hafted Blade, Large Hafted Point",Mundane,12/12,6,40 bc,FALSE,FALSE,FALSE,TRUE
"Javelin",1,"Short Spear, Thrown Short Spear",Mundane,12/12,3,5 bc,FALSE,FALSE,TRUE,TRUE
"Greatsword",1,"Thrusting Greatsword, Slashing Greatsword",Mundane,12/12,6,50 bc,FALSE,FALSE,TRUE,TRUE
"Swordstaff",1,"Reach Hafted Blade, Longspear",Mundane,12/12,6,50 bc,FALSE,FALSE,TRUE,TRUE
"Halberd",1,"Reach Hafted Blade, Reach Hafted Point",Mundane,12/12,7,20 bc,FALSE,FALSE,TRUE,TRUE
"Long Poleaxe",1,"Reach Hafted Blunt, Reach Hafted Blade, Reach Hafted Point",Mundane,12/12,7,41 bc,FALSE,FALSE,FALSE,TRUE
"Lance",1,Reach Hafted Point,Mundane,12/12,11,10 bc,FALSE,FALSE,FALSE,TRUE
"Long Spear",1,Longspear,Mundane,12/12,5,2 bc,FALSE,TRUE,TRUE,TRUE
"Pike",1,Longspear,Mundane,12/12,5,5 bc,FALSE,TRUE,TRUE,TRUE
"Man Catcher",1,Man Catcher,Mundane,12/12,8,5 bc,FALSE,FALSE,FALSE,TRUE
"Swordbreaker",1,Small Slashing Blade,Mundane,12/12,1,25 bc,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,
"Blacksmith",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"-[Adventuring Gear]-",,,,,,,,,,
"Bag of Ball Bearings",1000,Misc,Mundane,,2,70 cc,FALSE,TRUE,TRUE,TRUE
"Bell",1,Misc,Mundane,,0.1,70 cc,FALSE,TRUE,TRUE,TRUE
"Block and Tackle",1,Misc,Mundane,,5,70 cc,FALSE,FALSE,TRUE,TRUE
"Chain (10 feet)",1,Misc,Mundane,,10,3 bc,TRUE,TRUE,TRUE,TRUE
"Crowbar",1,Small Hafted Blunt,Mundane,12/12,5,2 bc,TRUE,TRUE,TRUE,TRUE
"Grappling Hook",1,Misc,Mundane,,4,2 bc,FALSE,FALSE,TRUE,TRUE
"Hammer",1,Small Hafted Blunt,Mundane,12/12,3,1 bc,TRUE,TRUE,TRUE,TRUE
"Hammer, Sledge",1,Large Hafted Blunt,Mundane,12/12,10,2 bc,FALSE,TRUE,TRUE,TRUE
"Hunting Trap",1,Misc,Mundane,,25,5 bc,FALSE,TRUE,TRUE,TRUE
"Lamp",1,Misc,Mundane,,1,50 cc,FALSE,TRUE,TRUE,TRUE
"Lantern, Bullseye",1,Misc,Mundane,,2,10 bc,FALSE,FALSE,FALSE,TRUE
"Lantern, Hooded",1,Misc,Mundane,,2,5 bc,FALSE,FALSE,TRUE,TRUE
"Lock",1,Misc,Mundane,,1,10 bc,FALSE,TRUE,TRUE,TRUE
"Manacles",1,Misc,Mundane,,6,2 bc,FALSE,FALSE,TRUE,TRUE
"Mirror, Steel",1,Misc,Mundane,,0.5,5 bc,FALSE,FALSE,TRUE,TRUE
"Pick, Miner's",1,Large Hafted Point,Mundane,12/12,10,2 bc,FALSE,TRUE,TRUE,TRUE
"Piton",1,Misc,Mundane,,0.25,3 cc,FALSE,TRUE,TRUE,TRUE
"Pot, Iron",1,Misc,Mundane,,10,1 bc,FALSE,TRUE,TRUE,TRUE
"Spikes, Iron",1,Misc,Mundane,,5,70 cc,FALSE,FALSE,TRUE,TRUE
"Whetstone",1,Misc,Mundane,,1,1 cc,FALSE,TRUE,TRUE,TRUE
"-[Tools]-",,,,,,,,,,
"Carpenter's Tools",1,Misc,Mundane,,6,6 bc,FALSE,TRUE,TRUE,TRUE
"Mason's Tools",1,Misc,Mundane,,8,7 bc,FALSE,FALSE,TRUE,TRUE
"Smith's Tools",1,Misc,Mundane,,8,20 bc,TRUE,TRUE,TRUE,TRUE
